Question,Answer,Type
"Too expensive
","You:
Fair. Was it the price itself, or that you didn't see the value in it?

If they engage:
Most teams are shocked when they add up the hours their people spend hunting for contracts and updating spreadsheets. Worth walking through the maths?","""Not the right time"" Objections"
Competing priorities,"You:
I hear that constantly. Is this a temporary crunch, or are you just permanently underwater?

If they mention being lean:
That's exactly who we work with. The whole point of Nomio is that we do the work — you just upload contracts. Worth seeing how that works?","""Not the right time"" Objections"
"We need to hire someone first
","You:
Makes sense. Is the hire already in motion, or still being scoped out?

If they're hiring:
Might be useful to have options ready for when they start. Most new GCs or Heads of Procurement want to fix contract chaos on day one.","""Not the right time"" Objections"
We don’t need something like this,"You:
Do you mind me asking why? 

If they engage:
So when you have a question about a signed contract - what happens? ","""Not the right time"" Objections"
"We do it in-house
","You:
Got it. So you're managing everything in spreadsheets and shared drives?

If they confirm:
What’s an example of a question you’re usually asked about your contracts. Can you walk me through how you would answer it?

Potential Follow up:
- How long does it take?
- How can you fully trust it?
- What if the spreadsheet owner is on sick or on leave?","""We're Fine"" Objections"
"We use a competitor (known CLM)
","You:
Nice. On a scale of 1-10 how well is it working for you?



If it's not working well:
You mentioned X. Why is it not a 10?

If it is working:
I’ve spoken to over 1000 GCs. CLMs fail for one of three reasons - would you like to know what they are?

-Who does the work - Is it you or the vendor?
- Is it easy to use?
-Can you fully trust all the data?

Which of these 3 does your CLM most struggle with?


Other questions:
- How labour intensive is it to maintain?","""We're Fine"" Objections"
"We use AI ","You:
Tell me more


If they engage:
How do you make sure the data is always accurate?

How do you make sure your contract data is fed into your other systems like an ERP, Procurement system, or CRM. ","""We're Fine"" Objections"
"We use another vendor (unknown)
","You:
Nice. On a scale of 1-10 how well is it working for you?



If it's not working well:
You mentioned X. Why is it not a 10?

If it is working:
I’ve spoken to over 1000 GCs. Systems fail for one of three reasons - would you like to know what they are?

-Who does the work - Is it you or the vendor?
- Is it easy to use?
-Can you fully trust all the data?

Which of these 3 does your CLMsystemmost struggle with?


Other questions:
- How labour intensive is it to maintain?","""We're Fine"" Objections"
"We're on top of our renewals
","You:
Out of curiosity how are you managing them?

If manual process:
As you scale is the plan to keep the process manual? 

If system:
- Go to system objection handling
- Sounds like renewals isn’t a problem then. Do you have total visibility of all the information you care about in your contracts?","""We're Fine"" Objections"
"Most of our contracts are standard
","You:
Great. How are you keeping track of key dates in your contracts?","""We're Fine"" Objections"
"Our AI is pretty accurate
","You:
Is it 100% accurate? 

If they say high 80s/low 90s:
Where does it make mistakes?

Then:
How do you known when the information is inaccurate? Do you have to read the actual contracts?

How are you checking the accuracy on the more complex contracts where it’s more likely to make a mistake? 

How do you fix the mistakes? 

When your giving a report to an exec. How important is it to have fully accurate data? ","""We're Fine"" Objections"
"Not enough contracts to warrant a solution
","You:
How many contracts are we talking and what’s the split between supplier and customer?


Then:
Are these complex or highly negotiated contracts? 

If no:
So how are you managing them?","""We're Fine"" Objections"
"I don't have the time to implement something like this
","You:
How long do you think it would take to implement something like this?


You’re completely right and our entire usp is built around solving this one problem. its actually significantly less than you think, we actually only need an hour of your time and we do the rest for you. focus on one thing, clm implementations take ages, two fail, less than one time, legal tecch is notorious, our premis is legal teams are overworked and understaffed,

Then:
How much time is your team spending right now chasing down contracts, updating spreadsheets, or answering do we have this document questions?","""We're Fine"" Objections"
"We have a document management system already
","You:
Nice. On a scale of 1-10 how well is it working for you?



If it's not working well:
You mentioned X. Why is it not a 10?

If it is working:
I’ve spoken to over 1000 GCs. CLMs fail for one of three reasons - would you like to know what they are?

-Who does the work - Is it you or the vendor?
- Is it easy to use?
-Can you fully trust all the data?

Which of these 3 does your CLM most struggle with?


Other questions:
- How labour intensive is it to maintain?
- When the business comes to you with contract questions, how do you answer it?","""We're Fine"" Objections"
"Hang up
","Follow-up call (a week later):
You hung up on me last Tuesday around half two. I know I interrupted you then and probably am now too, but hear me out for 30 seconds?

Then:
I called because most legal teams are buried in contract chaos — can't find documents, miss renewals, don't trust their own data. If that's not you, brilliant. But if it is, worth a conversation?",Dismissive Objections
"Why just a repository?
","You:
Because repositories are where CLMs go to die. Everyone buys a CLM thinking they'll get everything, then spends six months trying to implement it, and ends up with an expensive mess they can't trust.

We do one thing properly: give you a contract repository that actually works, with data you can rely on, in two weeks. Then you can bolt on whatever else you need — drafting tools, e-sig, whatever. But you've got the foundation sorted.

If they push back:
Put it this way — would you rather have a repository that's live in two weeks with 99% accurate data, or a CLM that promises everything but takes a year to implement and still doesn't have your historic contracts organised?",Product Questions
"How does Nomio compare to CLMs?
","You:
We're not a CLM. We don't do drafting, approvals, or e-signatures. We just do the repository bit — but we do it properly.

The difference is: CLMs make you do all the work. You configure fields, train the system, clean your data, maintain it forever. Most teams never finish implementation, or it falls apart after six months.

We do all that work for you. You send us contracts, we organise them, capture every key term with human review, and maintain it forever. Takes two weeks and less than an hour of your time.

Then:
Are you actually using a CLM now, or just evaluating options?",Product Questions
"Why can't I just use Copilot?
","You:
You can — if you're happy with 70-80% accuracy and doing all the validation yourself.

Copilot will pull answers from your contracts, but it won't structure your data, it won't tell you what's missing, and it won't maintain a repository you can actually report from. It's a search tool, not a system of record.

We give you structured, validated data on every contract — dates, values, terms, obligations — that you can filter, report on, and trust. Completely different use case.

Then:
Are you trying to solve I need to find a clause in a contract or I need to know what's expiring next quarter across 500 contracts?",Product Questions
"Why would we get multiple separate tools if we can just get one?
","You:
Because the one tool for everything almost never works in practice.

You end up with a CLM that does ten things badly instead of three things well. Then you spend a year trying to implement it, your team hates using it, and your contracts are still a mess.

Better approach: best-in-class repository (us), then integrate with whatever drafting or approval tools you actually need.  Most CLMs can't even get the repository bit right — that's where they fail first.

Then:
If you've got a CLM now, is it actually organising your historic contracts, or just handling new ones going forward?",Product Questions
"We have other IT transformation projects in the way, so Nomio will have to come after those
","You:
That's exactly why teams choose us.

Your IT projects take months and need massive input from your team. We take two weeks and less than an hour of your time — we don't compete for resources.

Most of our customers are mid-implementation on something else when they onboard with us. It's not an either/or.

Then:
What projects are ahead of us in the queue?",Competing Priorities
